Stock Symbol,Beta,Dividend Yield,EPS (TTM),Ex-Dividend Date,Latest Dividend,Market Value,P/E Ratio (TTM),Percent of Float,Shares Outstanding,Short Interest,Short Interest Change,Volume
SHNG,0.05,9.06%,₱0.763,03-Apr-23,₱0.155,₱12.9B,3.62,,2B,N/A (),,231.2K
SLF,-0.07,4.82%,₱213.39,23-Feb-23,₱29.18,₱1.57T,12.03,,586.34M,N/A (),,88.77
SLI,0.15,,₱0.418,,,₱27.38B,7.74,,8.3B,N/A (),,197.75K
SM,1.12,0.81%,₱43.00,08-May-23,₱7.50,₱1.13T,21.5,,1.22B,N/A (),,343.15K
SMC,0.58,1.33%,-₱8.15,28-Mar-23,₱0.35,₱244.99B,,,,N/A (),,163.89K
SMPH,1.07,0.72%,₱1.11,05-May-23,₱0.24,₱970.34B,29.64,,,N/A (),,8.58M
SOC,0.2,,₱0.035,,,₱378.81M,12.14,,,N/A (),,5.66K
SPC,0.26,,₱0.85,,,₱13.77B,10.82,,,N/A (),,71.99K
SPM,0.36,,₱0.007,,,₱293.4M,243.24,,,N/A (),,5.63K
SPNEC,0.71,,-₱0.007,,,₱14B,,,10B,N/A (),,47.72M
SRDC,,,₱0.062,,,₱88M,12.86,,,N/A (),,
SSI,0.81,1.05%,₱0.585,05-Jul-19,₱0.015,₱8.38B,4.38,,3.3B,N/A (),,3.13M
SSP,0.48,3.86%,₱0.327,14-Mar-23,₱0.067,₱3.79B,5.35,,2.11B,N/A (),,569.31K
STI,0.37,4.29%,₱0.061,03-Jan-23,₱0.015,₱3.24B,5.76,,,N/A (),,2.16M
STN,,,₱0.203,,,,0,,,N/A (),,
STR,0.33,0.94%,₱0.908,12-Oct-21,₱0.016,₱23.68B,3.08,,,N/A (),,12.09K
SUN,0.53,,-₱0.077,,,₱7.03B,,,7.25B,N/A (),,150.28K
T,0.36,,-₱0.423,,,₱620.4M,,,,N/A (),,20.54K
TBGI,0.65,,₱0.002,,,₱683.21M,72.16,,,N/A (),,1.88M
